 |       | ttgamma      | ttbar      | ttW      | ttH      | ttZ      | SingleTop      | Vgamma      | ttZZ      | VH      | fourTop      | Zjets      | Wjets      | ttWZ      | WtZ      | ttHH      | threeTop      | ttWH      | ttWW      | VVV      | VV      | tZ      | LQ |
 | gamma_stat_tau-pt-0_bin_11 | 1.90818e-10 / -1.90818e-10 | 4.41887e-11 / -4.41889e-11 | 1.96547e-10 / -1.96547e-10 | 1.11005e-10 / -1.11005e-10 | 1.52994e-10 / -1.52993e-10 | 1.33809e-10 / -1.33809e-10 | 3.82896e-10 / -3.82896e-10 | 3.32246e-08 / -3.32246e-08 | 7.44224e-07 / -7.44224e-07 | 1.16201e-09 / -1.16201e-09 | 1.41724e-08 / -1.41724e-08 | 1.348e-06 / -1.348e-06 | 1.49721e-08 / -1.49721e-08 | 1.31529e-09 / -1.31529e-09 | 2.56747e-08 / -2.56747e-08 | 1.02584e-08 / -1.02584e-08 | 1.84563e-08 / -1.84563e-08 | 2.01839e-09 / -2.01839e-09 | 2.87166e-08 / -2.87166e-08 | 1.88611e-09 / -1.88611e-09 | 2.30557e-09 / -2.30557e-09 | 0.000367561 / -0.000367561 |
 | gamma_stat_tau-pt-0_bin_12 | 2.22511e-10 / -2.22511e-10 | 5.15279e-11 / -5.15281e-11 | 2.29191e-10 / -2.29191e-10 | 1.29442e-10 / -1.29441e-10 | 1.78404e-10 / -1.78404e-10 | 1.56033e-10 / -1.56033e-10 | 4.46491e-10 / -4.46491e-10 | 3.87429e-08 / -3.87429e-08 | 8.67832e-07 / -8.67832e-07 | 1.35501e-09 / -1.35501e-09 | 1.65263e-08 / -1.65263e-08 | 1.57189e-06 / -1.57189e-06 | 1.74589e-08 / -1.74589e-08 | 1.53375e-09 / -1.53375e-09 | 2.9939e-08 / -2.9939e-08 | 1.19622e-08 / -1.19622e-08 | 2.15217e-08 / -2.15217e-08 | 2.35362e-09 / -2.35362e-09 | 3.34861e-08 / -3.34861e-08 | 2.19938e-09 / -2.19938e-09 | 2.6885e-09 / -2.6885e-09 | 0.000316607 / -0.000316607 |
 | gamma_stat_tau-pt-0_bin_13 | 2.51702e-10 / -2.51702e-10 | 5.82878e-11 / -5.82879e-11 | 2.59258e-10 / -2.59258e-10 | 1.46423e-10 / -1.46423e-10 | 2.01808e-10 / -2.01808e-10 | 1.76502e-10 / -1.76502e-10 | 5.05064e-10 / -5.05064e-10 | 4.38255e-08 / -4.38255e-08 | 9.8168e-07 / -9.8168e-07 | 1.53277e-09 / -1.53277e-09 | 1.86944e-08 / -1.86944e-08 | 1.7781e-06 / -1.7781e-06 | 1.97492e-08 / -1.97492e-08 | 1.73495e-09 / -1.73495e-09 | 3.38666e-08 / -3.38666e-08 | 1.35315e-08 / -1.35315e-08 | 2.4345e-08 / -2.4345e-08 | 2.66239e-09 / -2.66239e-09 | 3.7879e-08 / -3.7879e-08 | 2.48791e-09 / -2.48791e-09 | 3.0412e-09 / -3.0412e-09 | 0.00028082 / -0.00028082 |
 | gamma_stat_tau-pt-0_bin_14 | 2.96474e-10 / -2.96474e-10 | 6.86562e-11 / -6.86562e-11 | 3.05375e-10 / -3.05375e-10 | 1.72468e-10 / -1.72468e-10 | 2.37706e-10 / -2.37706e-10 | 2.07898e-10 / -2.07898e-10 | 5.94905e-10 / -5.94905e-10 | 5.16211e-08 / -5.16211e-08 | 1.1563e-06 / -1.1563e-06 | 1.80542e-09 / -1.80542e-09 | 2.20197e-08 / -2.20197e-08 | 2.09438e-06 / -2.09438e-06 | 2.32622e-08 / -2.32622e-08 | 2.04357e-09 / -2.04357e-09 | 3.98908e-08 / -3.98908e-08 | 1.59384e-08 / -1.59384e-08 | 2.86755e-08 / -2.86755e-08 | 3.13597e-09 / -3.13597e-09 | 4.46169e-08 / -4.46169e-08 | 2.93045e-09 / -2.93045e-09 | 3.58217e-09 / -3.58217e-09 | 0.000243145 / -0.000243145 |
 | gamma_stat_tau-pt-0_bin_15 | 3.54612e-10 / -3.54612e-10 | 8.21194e-11 / -8.21195e-11 | 3.65258e-10 / -3.65258e-10 | 2.06289e-10 / -2.06289e-10 | 2.84319e-10 / -2.84319e-10 | 2.48667e-10 / -2.48667e-10 | 7.11565e-10 / -7.11565e-10 | 6.17439e-08 / -6.17439e-08 | 1.38305e-06 / -1.38305e-06 | 2.15946e-09 / -2.15946e-09 | 2.63377e-08 / -2.63377e-08 | 2.50509e-06 / -2.50509e-06 | 2.78239e-08 / -2.78239e-08 | 2.44431e-09 / -2.44431e-09 | 4.77133e-08 / -4.77133e-08 | 1.90639e-08 / -1.90639e-08 | 3.42987e-08 / -3.42987e-08 | 3.75093e-09 / -3.75093e-09 | 5.33662e-08 / -5.33662e-08 | 3.50511e-09 / -3.50511e-09 | 4.28462e-09 / -4.28462e-09 | 0.000204177 / -0.000204177 |
 | gamma_stat_tau-pt-0_bin_16 | 4.13941e-10 / -4.13941e-10 | 9.58584e-11 / -9.58585e-11 | 4.26368e-10 / -4.26368e-10 | 2.40802e-10 / -2.40802e-10 | 3.31888e-10 / -3.31888e-10 | 2.9027e-10 / -2.9027e-10 | 8.30614e-10 / -8.30614e-10 | 7.2074e-08 / -7.2074e-08 | 1.61444e-06 / -1.61444e-06 | 2.52075e-09 / -2.52075e-09 | 3.07442e-08 / -3.07442e-08 | 2.9242e-06 / -2.9242e-06 | 3.2479e-08 / -3.2479e-08 | 2.85325e-09 / -2.85325e-09 | 5.56961e-08 / -5.56961e-08 | 2.22534e-08 / -2.22534e-08 | 4.00371e-08 / -4.00371e-08 | 4.37849e-09 / -4.37849e-09 | 6.22947e-08 / -6.22947e-08 | 4.09154e-09 / -4.09154e-09 | 5.00147e-09 / -5.00147e-09 | 0.000178757 / -0.000178757 |
 | gamma_stat_tau-pt-0_bin_17 | 5.10853e-10 / -5.10853e-10 | 1.18301e-10 / -1.18301e-10 | 5.2619e-10 / -5.2619e-10 | 2.97179e-10 / -2.97179e-10 | 4.09589e-10 / -4.09589e-10 | 3.58228e-10 / -3.58228e-10 | 1.02508e-09 / -1.02508e-09 | 8.8948e-08 / -8.8948e-08 | 1.99241e-06 / -1.99241e-06 | 3.11091e-09 / -3.11091e-09 | 3.7942e-08 / -3.7942e-08 | 3.60882e-06 / -3.60882e-06 | 4.0083e-08 / -4.0083e-08 | 3.52126e-09 / -3.52126e-09 | 6.87356e-08 / -6.87356e-08 | 2.74634e-08 / -2.74634e-08 | 4.94106e-08 / -4.94106e-08 | 5.40358e-09 / -5.40358e-09 | 7.68791e-08 / -7.68791e-08 | 5.04945e-09 / -5.04945e-09 | 6.17241e-09 / -6.17241e-09 | 0.000147184 / -0.000147184 |
 | gamma_stat_tau-pt-0_bin_18 | 6.47276e-10 / -6.47276e-10 | 1.49893e-10 / -1.49893e-10 | 6.66708e-10 / -6.66708e-10 | 3.76541e-10 / -3.7654e-10 | 5.1897e-10 / -5.1897e-10 | 4.53893e-10 / -4.53893e-10 | 1.29882e-09 / -1.29882e-09 | 1.12702e-07 / -1.12702e-07 | 2.52449e-06 / -2.52449e-06 | 3.94167e-09 / -3.94167e-09 | 4.80744e-08 / -4.80744e-08 | 4.57255e-06 / -4.57255e-06 | 5.07871e-08 / -5.07871e-08 | 4.46161e-09 / -4.46161e-09 | 8.70915e-08 / -8.70915e-08 | 3.47975e-08 / -3.47975e-08 | 6.26057e-08 / -6.26057e-08 | 6.8466e-09 / -6.8466e-09 | 9.74097e-08 / -9.74097e-08 | 6.3979e-09 / -6.3979e-09 | 7.82075e-09 / -7.82075e-09 | 0.000122773 / -0.000122773 |
 | gamma_stat_tau-pt-0_bin_19 | 4.22479e-10 / -4.22479e-10 | 9.78357e-11 / -9.7836e-11 | 4.35163e-10 / -4.35163e-10 | 2.45769e-10 / -2.45769e-10 | 3.38734e-10 / -3.38734e-10 | 2.96258e-10 / -2.96258e-10 | 8.47747e-10 / -8.47747e-10 | 7.35607e-08 / -7.35607e-08 | 1.64774e-06 / -1.64774e-06 | 2.57274e-09 / -2.57274e-09 | 3.13783e-08 / -3.13783e-08 | 2.98452e-06 / -2.98452e-06 | 3.31489e-08 / -3.31489e-08 | 2.91211e-09 / -2.91211e-09 | 5.68449e-08 / -5.68449e-08 | 2.27125e-08 / -2.27125e-08 | 4.0863e-08 / -4.0863e-08 | 4.4688e-09 / -4.4688e-09 | 6.35797e-08 / -6.35797e-08 | 4.17593e-09 / -4.17593e-09 | 5.10463e-09 / -5.10463e-09 | 0.00017583 / -0.00017583 |
