 |       | ttgamma      | ttbar      | ttW      | ttH      | ttZ      | SingleTop      | Vgamma      | ttZZ      | VH      | fourTop      | Zjets      | Wjets      | ttWZ      | WtZ      | ttHH      | threeTop      | ttWH      | ttWW      | VVV      | VV      | tZ      | LQ |
 | gamma_stat_tau-pt-0_bin_12 | 6.48111e-10 / -6.48111e-10 | 1.23133e-10 / -1.23133e-10 | 3.24794e-10 / -3.24794e-10 | 3.05124e-10 / -3.05124e-10 | 3.57927e-10 / -3.57927e-10 | 3.97414e-10 / -3.97414e-10 | 1.25476e-09 / -1.25476e-09 | 8.94651e-08 / -8.94651e-08 | 2.26729e-06 / -2.26729e-06 | 3.66388e-09 / -3.66388e-09 | 6.18864e-08 / -6.18864e-08 | 0.000531306 / -0.000531306 | 3.517e-08 / -3.517e-08 | 2.02555e-09 / -2.02555e-09 | 8.3396e-08 / -8.3396e-08 | 3.20318e-08 / -3.20318e-08 | 5.16996e-08 / -5.16996e-08 | 4.94551e-09 / -4.94551e-09 | 2.6707e-08 / -2.6707e-08 | 4.84872e-09 / -4.84872e-09 | 3.73609e-09 / -3.73609e-09 | 0.000269274 / -0.000269274 |
 | gamma_stat_tau-pt-0_bin_13 | 7.40627e-10 / -7.40627e-10 | 1.4071e-10 / -1.4071e-10 | 3.71157e-10 / -3.71157e-10 | 3.48679e-10 / -3.48679e-10 | 4.0902e-10 / -4.0902e-10 | 4.54143e-10 / -4.54144e-10 | 1.43387e-09 / -1.43387e-09 | 1.02236e-07 / -1.02236e-07 | 2.59094e-06 / -2.59094e-06 | 4.18689e-09 / -4.18689e-09 | 7.07205e-08 / -7.07205e-08 | 0.000607148 / -0.000607148 | 4.01904e-08 / -4.01904e-08 | 2.3147e-09 / -2.3147e-09 | 9.53006e-08 / -9.53006e-08 | 3.66043e-08 / -3.66043e-08 | 5.90795e-08 / -5.90795e-08 | 5.65147e-09 / -5.65147e-09 | 3.05193e-08 / -3.05193e-08 | 5.54086e-09 / -5.54086e-09 | 4.26941e-09 / -4.26941e-09 | 0.000236805 / -0.000236805 |
 | gamma_stat_tau-pt-0_bin_14 | 8.6837e-10 / -8.6837e-10 | 1.64979e-10 / -1.64979e-10 | 4.35174e-10 / -4.35174e-10 | 4.08819e-10 / -4.08819e-10 | 4.79567e-10 / -4.79567e-10 | 5.32474e-10 / -5.32474e-10 | 1.68118e-09 / -1.68118e-09 | 1.1987e-07 / -1.1987e-07 | 3.03782e-06 / -3.03782e-06 | 4.90904e-09 / -4.90904e-09 | 8.29183e-08 / -8.29183e-08 | 0.000711868 / -0.000711868 | 4.71225e-08 / -4.71225e-08 | 2.71393e-09 / -2.71393e-09 | 1.11738e-07 / -1.11738e-07 | 4.29178e-08 / -4.29178e-08 | 6.92695e-08 / -6.92695e-08 | 6.62623e-09 / -6.62623e-09 | 3.57833e-08 / -3.57833e-08 | 6.49654e-09 / -6.49654e-09 | 5.00579e-09 / -5.00579e-09 | 0.000205536 / -0.000205536 |
 | gamma_stat_tau-pt-0_bin_15 | 1.0172e-09 / -1.0172e-09 | 1.93255e-10 / -1.93255e-10 | 5.09758e-10 / -5.09758e-10 | 4.78886e-10 / -4.78886e-10 | 5.61759e-10 / -5.61759e-10 | 6.23734e-10 / -6.23734e-10 | 1.96932e-09 / -1.96932e-09 | 1.40414e-07 / -1.40414e-07 | 3.55847e-06 / -3.55847e-06 | 5.75039e-09 / -5.75039e-09 | 9.71296e-08 / -9.71296e-08 | 0.000833875 / -0.000833875 | 5.51987e-08 / -5.51987e-08 | 3.17907e-09 / -3.17907e-09 | 1.30889e-07 / -1.30889e-07 | 5.02734e-08 / -5.02734e-08 | 8.11416e-08 / -8.11416e-08 | 7.76189e-09 / -7.76189e-09 | 4.19161e-08 / -4.19161e-08 | 7.60997e-09 / -7.60997e-09 | 5.86373e-09 / -5.86373e-09 | 0.000175404 / -0.000175404 |
 | gamma_stat_tau-pt-0_bin_16 | 1.20586e-09 / -1.20586e-09 | 2.29098e-10 / -2.29098e-10 | 6.04303e-10 / -6.04303e-10 | 5.67706e-10 / -5.67706e-10 | 6.65949e-10 / -6.65949e-10 | 7.39418e-10 / -7.39418e-10 | 2.33457e-09 / -2.33457e-09 | 1.66456e-07 / -1.66456e-07 | 4.21846e-06 / -4.21846e-06 | 6.81692e-09 / -6.81692e-09 | 1.15144e-07 / -1.15144e-07 | 0.000988534 / -0.000988534 | 6.54364e-08 / -6.54364e-08 | 3.76869e-09 / -3.76869e-09 | 1.55164e-07 / -1.55164e-07 | 5.95976e-08 / -5.95976e-08 | 9.61909e-08 / -9.61909e-08 | 9.20149e-09 / -9.20149e-09 | 4.96903e-08 / -4.96903e-08 | 9.0214e-09 / -9.0214e-09 | 6.95128e-09 / -6.95128e-09 | 0.000150224 / -0.000150224 |
 | gamma_stat_tau-pt-0_bin_17 | 1.45431e-09 / -1.45431e-09 | 2.76301e-10 / -2.76301e-10 | 7.28813e-10 / -7.28813e-10 | 6.84675e-10 / -6.84675e-10 | 8.03161e-10 / -8.03161e-10 | 8.91767e-10 / -8.91767e-10 | 2.81558e-09 / -2.81558e-09 | 2.00753e-07 / -2.00753e-07 | 5.08763e-06 / -5.08763e-06 | 8.22147e-09 / -8.22147e-09 | 1.38868e-07 / -1.38868e-07 | 0.00119221 / -0.00119221 | 7.89189e-08 / -7.89189e-08 | 4.54519e-09 / -4.54519e-09 | 1.87134e-07 / -1.87134e-07 | 7.1877e-08 / -7.1877e-08 | 1.1601e-07 / -1.1601e-07 | 1.10974e-08 / -1.10974e-08 | 5.99285e-08 / -5.99285e-08 | 1.08802e-08 / -1.08802e-08 | 8.38351e-09 / -8.38351e-09 | 0.000126595 / -0.000126595 |
 | gamma_stat_tau-pt-0_bin_18 | 1.81489e-09 / -1.81489e-09 | 3.44806e-10 / -3.44806e-10 | 9.0951e-10 / -9.0951e-10 | 8.54429e-10 / -8.54429e-10 | 1.00229e-09 / -1.00229e-09 | 1.11287e-09 / -1.11287e-09 | 3.51366e-09 / -3.51366e-09 | 2.50526e-07 / -2.50526e-07 | 6.34902e-06 / -6.34902e-06 | 1.02598e-08 / -1.02598e-08 | 1.73299e-07 / -1.73299e-07 | 0.0014878 / -0.0014878 | 9.84855e-08 / -9.84855e-08 | 5.6721e-09 / -5.6721e-09 | 2.33531e-07 / -2.33531e-07 | 8.96978e-08 / -8.96978e-08 | 1.44773e-07 / -1.44773e-07 | 1.38488e-08 / -1.38488e-08 | 7.47867e-08 / -7.47867e-08 | 1.35777e-08 / -1.35777e-08 | 1.04621e-08 / -1.04621e-08 | 0.000104317 / -0.000104317 |
 | gamma_stat_tau-pt-0_bin_19 | 1.22087e-09 / -1.22087e-09 | 2.3195e-10 / -2.3195e-10 | 6.11825e-10 / -6.11826e-10 | 5.74773e-10 / -5.74773e-10 | 6.74239e-10 / -6.74239e-10 | 7.48623e-10 / -7.48623e-10 | 2.36363e-09 / -2.36363e-09 | 1.68529e-07 / -1.68529e-07 | 4.27098e-06 / -4.27098e-06 | 6.90178e-09 / -6.90178e-09 | 1.16578e-07 / -1.16578e-07 | 0.00100084 / -0.00100084 | 6.6251e-08 / -6.6251e-08 | 3.81561e-09 / -3.81561e-09 | 1.57096e-07 / -1.57096e-07 | 6.03395e-08 / -6.03395e-08 | 9.73884e-08 / -9.73884e-08 | 9.31604e-09 / -9.31604e-09 | 5.03089e-08 / -5.03089e-08 | 9.1337e-09 / -9.1337e-09 | 7.03781e-09 / -7.03781e-09 | 0.000148595 / -0.000148595 |
